cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,17428.0,15937.0,18,Tumor_edge_5,8,True
1,6092.0,18054.0,10,IDC_4,5,True
2,16351.0,7383.0,5,Healthy_1,9,True
3,5278.0,15202.0,9,IDC_3,11,True
4,9363.0,21386.0,10,IDC_4,5,True
5,16740.0,18549.0,8,IDC_2,4,True
6,19205.0,14752.0,16,Tumor_edge_3,13,True
7,7328.0,14018.0,2,DCIS/LCIS_3,18,True
8,14827.0,19495.0,8,IDC_2,4,True
9,6102.0,12828.0,15,Tumor_edge_2,1,True
10,12259.0,5475.0,4,DCIS/LCIS_5,6,True
11,14294.0,12368.0,12,IDC_6,18,True
12,18267.0,5011.0,5,Healthy_1,16,True
13,15919.0,19497.0,8,IDC_2,4,True
14,11550.0,19964.0,19,Tumor_edge_6,5,True
15,19628.0,7389.0,5,Healthy_1,9,True
16,18538.0,5962.0,5,Healthy_1,7,True
17,13052.0,19730.0,8,IDC_2,17,True
18,18941.0,9526.0,5,Healthy_1,15,True
19,12651.0,14740.0,6,Healthy_2,1,True
20,5134.0,19240.0,10,IDC_4,5,True
21,6098.0,14728.0,15,Tumor_edge_2,7,True
22,17828.0,20926.0,8,IDC_2,4,True
23,10073.0,6421.0,11,IDC_5,6,True
24,5559.0,10926.0,15,Tumor_edge_2,7,True
25,20168.0,10241.0,5,Healthy_1,9,True
26,6499.0,19718.0,10,IDC_4,5,True
27,10869.0,18775.0,3,DCIS/LCIS_4,3,True
28,11009.0,17113.0,6,Healthy_2,15,True
29,11978.0,9750.0,13,IDC_7,2,True
30,7063.0,9741.0,15,Tumor_edge_2,1,True
31,17991.0,6436.0,5,Healthy_1,9,True
32,7188.0,16156.0,15,Tumor_edge_2,7,True
33,10619.0,6422.0,11,IDC_5,6,True
34,5556.0,12827.0,15,Tumor_edge_2,7,True
35,16338.0,14509.0,16,Tumor_edge_3,13,True
36,16612.0,14035.0,16,Tumor_edge_3,12,True
37,15532.0,7381.0,14,Tumor_edge_1,14,True
38,19211.0,11427.0,16,Tumor_edge_3,12,True
39,12924.0,15216.0,6,Healthy_2,1,True
40,17980.0,12612.0,0,DCIS/LCIS_1,12,True
41,14286.0,16644.0,3,DCIS/LCIS_4,3,True
42,15373.0,19496.0,8,IDC_2,4,True
43,11150.0,14500.0,2,DCIS/LCIS_3,18,True
44,17290.0,16649.0,8,IDC_2,17,True
45,18669.0,9050.0,5,Healthy_1,15,True
46,6793.0,7841.0,11,IDC_5,6,True
47,12938.0,7139.0,14,Tumor_edge_1,8,True
