cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,1106.5,2768.60273529412,4,invasive cancer,1,True
1,1108.25,2640.79591176471,4,invasive cancer,1,True
2,1109.5,2516.88870588235,4,invasive cancer,1,True
3,1108.5,2390.59141176471,4,invasive cancer,1,True
4,1105.125,2264.41991176471,4,invasive cancer,1,True
5,1110.375,2139.00317647059,4,invasive cancer,1,True
6,1108.625,2006.54197058824,4,invasive cancer,1,True
7,1108.875,1884.39588235294,4,invasive cancer,1,True
8,1110.25,1763.63352941176,4,invasive cancer,1,True
9,1108.875,1626.76952941176,4,invasive cancer,1,True
10,1114.625,1513.42902941176,4,invasive cancer,1,True
11,1110.375,1392.54088235294,4,invasive cancer,1,True
12,1108.875,1266.87255882353,4,invasive cancer,1,True
13,1114.25,1136.04667647059,4,invasive cancer,1,True
14,1107.75,1003.33388235294,0,adipose tissue,1,True
15,1112.75,890.748147058823,0,adipose tissue,5,True
16,1235.75,2774.51505882353,4,invasive cancer,1,True
17,1233.375,2641.17329411765,4,invasive cancer,1,True
18,1236.5,2519.27879411765,4,invasive cancer,1,True
19,1232.75,2390.59141176471,4,invasive cancer,1,True
20,1234.5,2266.81,4,invasive cancer,1,True
21,1234.0,2140.38691176471,4,invasive cancer,1,True
22,1235.125,2013.71223529412,4,invasive cancer,1,True
23,1228.75,1888.79867647059,4,invasive cancer,1,True
24,1233.625,1765.77202941176,4,invasive cancer,1,True
25,1238.375,1628.27905882353,4,invasive cancer,1,True
26,1234.25,1516.95126470588,4,invasive cancer,1,True
27,1236.5,1395.68573529412,4,invasive cancer,1,True
28,1243.625,1270.269,4,invasive cancer,1,True
29,1230.75,1139.94629411765,4,invasive cancer,1,True
30,1235.75,1017.67441176471,0,adipose tissue,1,True
31,1237.75,892.63505882353,5,undetermined,1,False
32,1382.875,2885.96864705882,4,invasive cancer,1,True
33,1388.75,2758.91658823529,4,invasive cancer,1,True
34,1385.375,2627.08435294118,4,invasive cancer,1,True
35,1384.0,2505.69302941176,4,invasive cancer,1,True
36,1383.125,2379.26994117647,4,invasive cancer,1,True
37,1379.875,2251.33732352941,4,invasive cancer,1,True
38,1386.25,2125.41741176471,4,invasive cancer,1,True
39,1379.75,2003.39711764706,4,invasive cancer,1,True
40,1383.375,1876.47085294118,4,invasive cancer,1,True
41,1384.625,1754.45055882353,4,invasive cancer,1,True
42,1383.75,1619.72505882353,4,invasive cancer,1,True
43,1392.5,1507.39091176471,4,invasive cancer,1,True
44,1386.5,1384.49005882353,4,invasive cancer,1,True
45,1382.5,1255.67688235294,4,invasive cancer,1,True
46,1386.625,1131.89547058824,4,invasive cancer,1,True
47,1385.5,1004.21444117647,4,invasive cancer,1,True
48,1388.5,876.533411764706,4,invasive cancer,1,True
49,1497.625,2881.18847058824,4,invasive cancer,1,True
50,1511.625,2760.67770588235,4,invasive cancer,1,True
51,1514.0,2635.88994117647,4,invasive cancer,1,True
52,1507.625,2509.59264705882,4,invasive cancer,1,True
53,1512.875,2381.15685294118,4,invasive cancer,1,True
54,1512.5,2260.26870588235,4,invasive cancer,1,True
55,1510.0,2130.07179411765,4,invasive cancer,1,True
56,1509.375,2005.78720588235,4,invasive cancer,1,True
57,1516.25,1883.89270588235,4,invasive cancer,1,True
58,1511.875,1755.45691176471,4,invasive cancer,1,True
59,1512.5,1630.92073529412,4,invasive cancer,1,True
60,1505.625,1508.52305882353,4,invasive cancer,1,True
61,1516.25,1385.748,4,invasive cancer,1,True
62,1511.875,1260.45705882353,4,invasive cancer,1,True
63,1516.75,1134.03397058824,4,invasive cancer,1,True
64,1513.5,1006.98191176471,4,invasive cancer,1,True
65,1513.125,880.810411764705,4,invasive cancer,1,True
66,1616.125,2764.19994117647,4,invasive cancer,1,True
67,1619.25,2635.51255882353,4,invasive cancer,1,True
68,1622.375,2510.22161764706,4,invasive cancer,1,True
69,1619.875,2383.16955882353,4,invasive cancer,1,True
70,1625.25,2263.03617647059,4,invasive cancer,1,True
71,1621.25,2134.34879411765,4,invasive cancer,1,True
72,1629.875,2006.16458823529,4,invasive cancer,1,True
73,1626.625,1884.0185,4,invasive cancer,1,True
74,1623.5,1757.59541176471,4,invasive cancer,1,True
75,1627.0,1632.05288235294,4,invasive cancer,1,True
76,1629.125,1510.91314705882,4,invasive cancer,1,True
77,1630.75,1388.01229411765,4,invasive cancer,1,True
78,1630.0,1260.83444117647,4,invasive cancer,1,True
79,1623.75,1134.15976470588,4,invasive cancer,1,True
80,1627.375,1008.36564705882,4,invasive cancer,1,True
81,1633.125,882.571529411764,4,invasive cancer,1,True
82,1749.5,2765.0805,4,invasive cancer,1,True
83,1735.625,2637.90264705882,4,invasive cancer,1,True
84,1748.625,2512.86329411765,4,invasive cancer,1,True
85,1741.375,2386.18861764706,4,invasive cancer,1,True
86,1742.5,2252.72105882353,4,invasive cancer,1,True
87,1747.75,2134.85197058824,4,invasive cancer,1,True
88,1745.625,2010.81897058824,4,invasive cancer,1,True
89,1738.625,1881.25102941176,4,invasive cancer,1,True
90,1749.0,1754.70214705882,4,invasive cancer,1,True
91,1745.375,1633.814,4,invasive cancer,1,True
92,1746.375,1513.17744117647,4,invasive cancer,1,True
93,1741.0,1390.40238235294,4,invasive cancer,1,True
94,1748.25,1265.23723529412,4,invasive cancer,1,True
95,1742.875,1140.82685294118,4,invasive cancer,1,True
96,1746.375,1009.372,4,invasive cancer,1,True
97,1874.875,2893.89367647059,4,invasive cancer,1,True
98,1871.5,2763.19358823529,4,invasive cancer,1,True
99,1883.5,2640.16694117647,4,invasive cancer,1,True
100,1871.625,2512.61170588235,4,invasive cancer,1,True
101,1873.75,2387.32076470588,4,invasive cancer,1,True
102,1875.5,2260.14291176471,4,invasive cancer,1,True
103,1874.5,2133.97141176471,4,invasive cancer,1,True
104,1876.375,2006.29038235294,4,invasive cancer,1,True
105,1879.125,1884.64747058824,4,invasive cancer,1,True
106,1870.125,1758.35017647059,4,invasive cancer,1,True
107,1882.125,1630.54335294118,4,invasive cancer,1,True
108,1867.375,1510.28417647059,4,invasive cancer,1,True
109,1876.625,1386.25117647059,4,invasive cancer,1,True
110,1877.5,1260.70864705882,4,invasive cancer,1,True
111,1878.625,1137.43041176471,4,invasive cancer,1,True
112,1878.125,1007.35929411765,4,invasive cancer,1,True
113,1999.625,2769.10591176471,4,invasive cancer,2,True
114,1994.0,2518.02085294118,4,invasive cancer,1,True
115,1998.0,2386.69179411765,4,invasive cancer,1,True
116,1991.875,2254.60797058823,4,invasive cancer,1,True
117,1995.125,2131.95870588235,4,invasive cancer,1,True
118,1990.625,2007.17094117647,4,invasive cancer,1,True
119,2002.5,1887.54073529412,4,invasive cancer,1,True
120,2004.875,1758.22438235294,4,invasive cancer,1,True
121,1985.375,1618.46711764706,4,invasive cancer,1,True
122,2002.0,1515.19014705882,4,invasive cancer,1,True
123,2002.0,1391.15714705882,4,invasive cancer,1,True
124,1990.375,1262.09238235294,4,invasive cancer,1,True
125,1998.125,1138.93994117647,4,invasive cancer,1,True
126,1992.875,1011.13311764706,4,invasive cancer,1,True
127,2119.5,2766.08685294118,4,invasive cancer,2,True
128,2119.75,2638.65741176471,4,invasive cancer,2,True
129,2122.625,2520.28514705882,4,invasive cancer,2,True
130,2121.125,2387.32076470588,4,invasive cancer,1,True
131,2118.125,2249.19882352941,4,invasive cancer,1,True
132,2124.0,2132.71347058824,4,invasive cancer,1,True
133,2131.75,2009.30944117647,4,invasive cancer,1,True
134,2120.625,1756.21167647059,4,invasive cancer,1,True
135,2131.0,1632.17867647059,4,invasive cancer,1,True
136,2121.125,1510.91314705882,4,invasive cancer,1,True
137,2121.75,1387.25752941176,4,invasive cancer,1,True
138,2133.375,1262.84714705882,4,invasive cancer,1,True
139,2129.375,1137.55620588235,4,invasive cancer,1,True
140,2129.5,1012.13947058824,4,invasive cancer,1,True
141,2247.5,2890.74882352941,4,invasive cancer,2,True
142,2241.25,2766.33844117647,4,invasive cancer,2,True
143,2246.625,2634.88358823529,4,invasive cancer,2,True
144,2248.125,2516.76291176471,4,invasive cancer,2,True
145,2242.25,2387.57235294118,4,invasive cancer,2,True
146,2242.25,2251.58891176471,4,invasive cancer,1,True
147,2245.75,2133.46823529412,4,invasive cancer,1,True
148,2238.375,2009.81261764706,4,invasive cancer,1,True
149,2245.75,1884.39588235294,4,invasive cancer,1,True
150,2244.75,1765.26885294118,4,invasive cancer,1,True
151,2246.375,1619.97664705882,4,invasive cancer,1,True
152,2249.0,1511.66791176471,4,invasive cancer,1,True
153,2245.75,1379.3325,4,invasive cancer,1,True
154,2244.875,1247.24867647059,4,invasive cancer,1,True
155,2248.5,1136.54985294118,4,invasive cancer,1,True
156,2245.375,1009.74938235294,4,invasive cancer,1,True
157,2391.0,2896.15797058824,4,invasive cancer,2,True
158,2394.875,2771.24441176471,4,invasive cancer,2,True
159,2391.875,2641.42488235294,4,invasive cancer,2,True
160,2388.75,2514.876,4,invasive cancer,2,True
161,2388.25,2390.96879411765,4,invasive cancer,2,True
162,2387.875,2257.37544117647,4,invasive cancer,2,True
163,2387.75,2137.74523529412,4,invasive cancer,1,True
164,2387.125,2013.08326470588,4,invasive cancer,1,True
165,2394.375,1886.28279411765,4,invasive cancer,1,True
166,2392.75,1760.61447058824,4,invasive cancer,1,True
167,2387.625,1624.75682352941,4,invasive cancer,1,True
168,2394.875,1516.07070588235,4,invasive cancer,1,True
169,2391.0,1389.89920588235,4,invasive cancer,1,True
170,2383.875,1252.53202941177,4,invasive cancer,1,True
171,2392.375,1140.57526470588,4,invasive cancer,1,True
172,2391.25,1012.64264705882,4,invasive cancer,1,True
173,2489.75,2897.16432352941,4,invasive cancer,2,True
174,2497.0,2768.09955882353,4,invasive cancer,2,True
175,2490.625,2641.55067647059,4,invasive cancer,2,True
176,2488.75,2518.02085294118,4,invasive cancer,2,True
177,2494.25,2392.72991176471,4,invasive cancer,2,True
178,2493.625,2262.78458823529,4,invasive cancer,2,True
179,2489.5,2139.50635294118,4,invasive cancer,1,True
180,2494.75,2015.72494117647,4,invasive cancer,1,True
181,2496.75,1886.03120588235,4,invasive cancer,1,True
182,2495.125,1756.33747058824,4,invasive cancer,1,True
183,2493.375,1632.30447058824,4,invasive cancer,1,True
184,2489.5,1515.81911764706,4,invasive cancer,1,True
185,2496.625,1388.38967647059,4,invasive cancer,1,True
186,2497.5,1263.47611764706,4,invasive cancer,1,True
187,2498.75,1140.70105882353,4,invasive cancer,1,True
188,2495.25,1014.27797058824,4,invasive cancer,1,True
189,2617.375,2899.806,4,invasive cancer,2,True
190,2613.375,2768.98011764706,4,invasive cancer,2,True
191,2616.625,2644.31814705882,4,invasive cancer,2,True
192,2622.0,2521.16570588235,4,invasive cancer,2,True
193,2616.25,2392.9815,4,invasive cancer,2,True
194,2618.0,2269.70326470588,4,invasive cancer,2,True
195,2615.0,2141.89644117647,4,invasive cancer,2,True
196,2617.25,2014.84438235294,4,invasive cancer,3,True
197,2615.375,1890.55979411765,4,invasive cancer,3,True
198,2622.875,1765.77202941176,4,invasive cancer,3,True
199,2622.5,1639.60052941176,4,invasive cancer,1,True
200,2622.125,1519.34135294118,4,invasive cancer,1,True
201,2615.625,1390.40238235294,4,invasive cancer,1,True
202,2617.0,1262.97294117647,4,invasive cancer,1,True
203,2625.5,1140.07208823529,4,invasive cancer,1,True
204,2620.125,1013.90058823529,4,invasive cancer,1,True
205,2769.875,2883.45276470588,4,invasive cancer,2,True
206,2764.375,2758.28761764706,4,invasive cancer,2,True
207,2766.375,2633.75144117647,4,invasive cancer,2,True
208,2764.625,2506.44779411765,4,invasive cancer,2,True
209,2764.0,2381.28264705882,4,invasive cancer,2,True
210,2766.25,2251.71470588235,4,invasive cancer,2,True
211,2765.25,2126.04638235294,4,invasive cancer,3,True
212,2767.625,2002.64235294118,4,invasive cancer,3,True
213,2768.625,1874.20655882353,4,invasive cancer,3,True
214,2765.625,1753.31841176471,4,invasive cancer,3,True
215,2768.25,1628.90802941176,4,invasive cancer,3,True
216,2763.5,1509.02623529412,4,invasive cancer,3,True
217,2766.375,1386.75435294118,4,invasive cancer,3,True
218,2771.125,1260.58285294118,4,invasive cancer,3,True
219,2770.625,1129.128,4,invasive cancer,3,True
220,2893.875,2762.31302941176,4,invasive cancer,2,True
221,2891.875,2636.14152941176,4,invasive cancer,2,True
222,2895.5,2510.85058823529,4,invasive cancer,2,True
223,2893.125,2382.54058823529,4,invasive cancer,2,True
224,2891.125,2258.13020588235,4,invasive cancer,2,True
225,2885.0,2127.17852941176,4,invasive cancer,3,True
226,2893.5,2006.66776470588,2,connective tissue,3,True
227,2898.25,1880.49626470588,2,connective tissue,3,True
228,2896.625,1756.08588235294,2,connective tissue,3,True
229,2891.625,1631.92708823529,4,invasive cancer,3,True
230,2889.75,1514.43538235294,4,invasive cancer,3,True
231,2900.625,1385.87379411765,4,invasive cancer,3,True
232,2897.75,1257.438,4,invasive cancer,3,True
233,2890.0,1134.91452941176,4,invasive cancer,3,True
234,2901.625,1006.98191176471,4,invasive cancer,3,True
235,3003.0,2891.12620588235,4,invasive cancer,2,True
236,3004.625,2764.07414705882,4,invasive cancer,2,True
237,3008.5,2640.41852941177,4,invasive cancer,2,True
238,3014.125,2512.48591176471,4,invasive cancer,2,True
239,3007.0,2386.44020588235,4,invasive cancer,2,True
240,3015.0,2261.65244117647,4,invasive cancer,2,True
241,3016.0,2134.72617647059,4,invasive cancer,3,True
242,3009.25,2007.17094117647,2,connective tissue,3,True
243,3002.5,1882.00579411765,2,connective tissue,3,True
244,3012.125,1760.74026470588,2,connective tissue,3,True
245,3011.625,1633.68820588235,2,connective tissue,3,True
246,3015.75,1514.81276470588,4,invasive cancer,3,True
247,3005.875,1383.35791176471,4,invasive cancer,3,True
248,3005.0,1257.438,4,invasive cancer,3,True
249,3007.5,1133.27920588235,4,invasive cancer,3,True
250,3127.25,2894.27105882353,4,invasive cancer,2,True
251,3134.0,2765.83526470588,4,invasive cancer,2,True
252,3128.0,2639.53797058824,4,invasive cancer,2,True
253,3121.625,2513.11488235294,4,invasive cancer,2,True
254,3137.375,2390.59141176471,4,invasive cancer,2,True
255,3131.25,2262.78458823529,4,invasive cancer,2,True
256,3128.0,2138.12261764706,4,invasive cancer,3,True
257,3126.75,2014.08961764706,2,connective tissue,3,True
258,234.5,2635.63835294118,4,invasive cancer,4,True
259,238.75,2257.62702941176,2,connective tissue,4,True
260,239.25,2132.33608823529,2,connective tissue,4,True
261,244.875,2007.67411764706,2,connective tissue,4,True
262,244.125,1885.15064705882,2,connective tissue,4,True
263,245.625,1757.46961764706,1,cancer in situ,4,True
264,364.125,2637.65105882353,4,invasive cancer,4,True
265,360.75,2512.98908823529,4,invasive cancer,4,True
266,359.125,2384.4275,2,connective tissue,4,True
267,357.875,2259.01076470588,1,cancer in situ,4,True
268,359.75,2135.73252941176,1,cancer in situ,4,True
269,359.5,2009.93841176471,1,cancer in situ,4,True
