cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,1099.5,2405.14517647059,1,connective tissue,1,True
1,1101.75,2280.49288235294,1,connective tissue,1,True
2,1101.125,2152.43064705882,1,connective tissue,1,True
3,1101.75,2026.89429411765,3,undetermined,3,False
4,1098.75,1898.70576470588,2,invasive cancer,1,True
5,1100.375,1775.44270588235,2,invasive cancer,3,True
6,1100.25,1648.76970588235,2,invasive cancer,3,True
7,1229.375,2533.33370588235,1,connective tissue,2,True
8,1230.375,2408.934,1,connective tissue,2,True
9,1230.0,2284.02911764706,1,connective tissue,3,True
10,1229.0,2155.08282352941,1,connective tissue,3,True
11,1225.75,2029.42017647059,3,undetermined,3,False
12,1221.5,1901.98941176471,2,invasive cancer,3,True
13,1225.0,1778.34747058824,2,invasive cancer,3,True
14,1229.75,1654.07405882353,2,invasive cancer,3,True
15,1370.375,2641.94664705882,1,connective tissue,2,True
16,1376.5,2521.33576470588,1,connective tissue,2,True
17,1371.25,2390.62135294118,1,connective tissue,3,True
18,1376.5,2265.96905882353,1,connective tissue,3,True
19,1369.75,2135.88611764706,1,connective tissue,3,True
20,1374.625,2011.48641176471,2,invasive cancer,3,True
21,1373.375,1887.71817647059,2,invasive cancer,3,True
22,1366.25,1765.71805882353,2,invasive cancer,3,True
23,1372.625,1635.25623529412,2,invasive cancer,3,True
24,1379.5,1519.31823529412,2,invasive cancer,3,True
25,1510.0,2774.68176470588,1,connective tissue,2,True
26,1501.875,2646.49323529412,1,connective tissue,2,True
27,1496.25,2516.53658823529,1,connective tissue,2,True
28,1504.125,2396.55717647059,1,connective tissue,3,True
29,1500.625,2267.35829411765,1,connective tissue,3,True
30,1504.25,2143.59005882353,3,undetermined,3,False
31,1499.625,2016.53817647059,2,invasive cancer,3,True
32,1497.875,1890.87552941177,2,invasive cancer,3,True
33,1502.125,1769.88576470588,2,invasive cancer,3,True
34,1506.125,1641.19205882353,2,invasive cancer,3,True
35,1496.0,1520.45488235294,2,invasive cancer,3,True
36,1611.375,2897.94482352941,1,connective tissue,2,True
37,1611.75,2773.03994117647,1,connective tissue,2,True
38,1594.5,2650.15576470588,1,connective tissue,2,True
39,1609.125,2523.48276470588,1,connective tissue,3,True
40,1606.5,2394.03129411765,1,connective tissue,3,True
41,1611.25,2263.82205882353,2,invasive cancer,3,True
42,1610.125,2143.96894117647,2,invasive cancer,3,True
43,1606.625,2016.15929411765,2,invasive cancer,3,True
44,1614.375,1888.72852941176,2,invasive cancer,3,True
45,1607.375,1766.34952941176,2,invasive cancer,3,True
46,1607.5,1643.21276470588,2,invasive cancer,3,True
47,1620.125,1519.44452941176,2,invasive cancer,3,True
48,1735.75,2901.98623529412,1,connective tissue,3,True
49,1740.125,2775.69211764706,1,connective tissue,3,True
50,1736.625,2653.31311764706,1,connective tissue,3,True
51,1737.75,2523.10388235294,2,invasive cancer,3,True
52,1740.75,2393.77870588235,2,invasive cancer,3,True
53,1743.5,2270.26305882353,2,invasive cancer,3,True
