cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,1119.125,3141.69011764706,0,connective tissue,2,True
1,1114.875,3013.01764705882,0,connective tissue,2,True
2,1111.0,2887.98211764706,0,connective tissue,2,True
3,1118.375,2760.18752941176,3,undetermined,2,False
4,1113.375,2629.38305882353,2,invasive cancer,2,True
5,1117.0,2511.87223529412,2,invasive cancer,1,True
6,1116.875,2380.94235294118,2,invasive cancer,1,True
7,1112.625,2257.28635294118,2,invasive cancer,1,True
8,1116.125,2131.49835294118,2,invasive cancer,1,True
9,1118.25,1993.54541176471,2,invasive cancer,1,True
10,1118.5,1874.028,2,invasive cancer,1,True
11,1111.125,1765.04517647059,2,invasive cancer,1,True
12,1121.0,1618.188,2,invasive cancer,1,True
13,1120.75,1503.18541176471,2,invasive cancer,1,True
14,1124.875,1385.04752941177,0,connective tissue,1,True
15,1115.875,1258.38164705882,0,connective tissue,1,True
16,1118.125,1131.46494117647,3,undetermined,1,False
17,1121.125,997.399764705882,3,undetermined,1,False
18,1239.25,3019.16282352941,0,connective tissue,2,True
19,1245.125,2897.13717647059,0,connective tissue,2,True
20,1242.125,2766.45811764706,0,connective tissue,2,True
21,1233.125,2644.30705882353,2,invasive cancer,2,True
22,1240.625,2515.38376470588,2,invasive cancer,2,True
23,1242.25,2384.07764705882,2,invasive cancer,1,True
24,1244.5,2139.02305882353,2,invasive cancer,1,True
25,1245.25,2006.96447058824,2,invasive cancer,1,True
26,1238.625,1888.07411764706,2,invasive cancer,1,True
27,1244.125,1762.41152941176,2,invasive cancer,1,True
28,1245.875,1625.33647058824,2,invasive cancer,1,True
29,1245.0,1515.09952941176,0,connective tissue,1,True
30,1241.5,1392.07058823529,0,connective tissue,1,True
31,1249.125,1266.78423529412,0,connective tissue,1,True
32,1245.625,1137.23388235294,3,undetermined,1,False
33,1242.25,1010.94423529412,3,undetermined,1,False
34,1242.125,885.657882352941,3,undetermined,1,False
35,1385.625,3012.13976470588,1,immune infiltrate,2,True
36,1384.625,2881.83694117647,1,immune infiltrate,2,True
37,1389.0,2755.04564705882,0,connective tissue,2,True
38,1386.75,2626.49858823529,3,undetermined,2,False
39,1384.25,2505.72705882353,2,invasive cancer,2,True
40,1388.875,2379.06117647059,2,invasive cancer,1,True
41,1387.25,2255.27976470588,2,invasive cancer,1,True
42,1393.375,2125.35317647059,2,invasive cancer,1,True
43,1389.25,2002.82588235294,2,invasive cancer,1,True
44,1391.25,1877.79035294118,2,invasive cancer,1,True
45,1391.375,1753.50729411765,3,undetermined,1,False
46,1387.75,1619.31670588235,0,connective tissue,1,True
47,1385.5,1502.43294117647,0,connective tissue,1,True
48,1387.125,1384.42047058824,0,connective tissue,1,True
49,1391.0,1249.47741176471,0,connective tissue,1,True
50,1386.375,1126.07223529412,0,connective tissue,1,True
51,1386.875,1000.78588235294,0,connective tissue,1,True
52,1515.5,3009.63152941176,1,immune infiltrate,2,True
53,1520.5,2880.83364705882,0,connective tissue,2,True
54,1515.125,2756.676,0,connective tissue,2,True
55,1510.125,2628.25435294118,0,connective tissue,2,True
56,1517.75,2508.73694117647,0,connective tissue,2,True
57,1518.0,2379.18658823529,0,connective tissue,2,True
58,1515.5,2254.40188235294,0,connective tissue,2,True
59,1512.125,2126.23105882353,0,connective tissue,1,True
60,1515.25,2002.82588235294,0,connective tissue,1,True
61,1512.25,1878.04117647059,0,connective tissue,1,True
62,1516.625,1752.88023529412,0,connective tissue,1,True
63,1521.75,1628.47176470588,0,connective tissue,1,True
64,1520.875,1502.80917647059,0,connective tissue,1,True
65,1515.75,1380.65811764706,0,connective tissue,1,True
66,1516.375,1254.87011764706,0,connective tissue,1,True
67,1522.0,1130.58705882353,2,invasive cancer,1,True
68,1519.25,1004.79905882353,2,invasive cancer,1,True
69,1515.125,877.506117647059,2,invasive cancer,1,True
70,1622.375,3008.37741176471,0,connective tissue,2,True
71,1621.75,2882.71482352941,3,undetermined,2,False
72,1627.375,2755.04564705882,1,immune infiltrate,2,True
73,1632.875,2631.76588235294,0,connective tissue,2,True
74,1621.875,2503.59505882353,0,connective tissue,2,True
75,1624.875,2379.312,0,connective tissue,2,True
76,1624.375,2251.26658823529,0,connective tissue,2,True
77,1630.75,2129.49176470588,0,connective tissue,2,True
78,1630.0,2002.19882352941,0,connective tissue,1,True
79,1630.625,1878.16658823529,0,connective tissue,1,True
80,1623.5,1754.13435294118,0,connective tissue,1,True
81,1632.875,1624.08235294118,0,connective tissue,1,True
82,1631.25,1503.18541176471,0,connective tissue,1,True
83,1631.0,1378.27529411765,2,invasive cancer,1,True
84,1630.625,1255.99882352941,2,invasive cancer,1,True
85,1626.125,1129.58376470588,2,invasive cancer,1,True
86,1628.25,1000.53505882353,2,invasive cancer,1,True
87,1630.125,872.113411764706,2,invasive cancer,1,True
88,1763.875,3010.25858823529,0,connective tissue,2,True
89,1761.0,2885.59929411765,1,immune infiltrate,2,True
90,1759.0,2757.93011764706,1,immune infiltrate,2,True
91,1757.625,2632.01670588235,3,undetermined,2,False
92,1760.5,2509.48941176471,0,connective tissue,2,True
93,1758.0,2377.05458823529,0,connective tissue,2,True
94,1760.75,2254.02564705882,0,connective tissue,2,True
95,1761.25,2126.48188235294,0,connective tissue,2,True
96,1757.375,2004.08,0,connective tissue,1,True
97,1756.75,1880.424,0,connective tissue,1,True
98,1760.75,1745.85717647059,0,connective tissue,1,True
99,1758.375,1624.83482352941,0,connective tissue,1,True
100,1759.5,1505.44282352941,2,invasive cancer,1,True
101,1761.0,1380.53270588235,2,invasive cancer,1,True
102,1759.125,1254.61929411765,2,invasive cancer,1,True
103,1759.375,1133.34611764706,2,invasive cancer,1,True
104,1760.875,1005.17529411765,2,invasive cancer,1,True
105,1761.0,874.872470588235,2,invasive cancer,1,True
106,1871.125,3012.01435294118,0,connective tissue,2,True
107,1870.5,2867.41458823529,1,immune infiltrate,2,True
108,1877.875,2750.40541176471,3,undetermined,2,False
109,1873.875,2620.47882352941,0,connective tissue,2,True
110,1875.875,2504.97458823529,0,connective tissue,2,True
111,1880.375,2380.18988235294,0,connective tissue,2,True
112,1876.25,2241.23364705882,0,connective tissue,2,True
113,1871.125,2128.11223529412,0,connective tissue,2,True
114,1877.625,2003.95458823529,0,connective tissue,1,True
115,1881.25,1871.64517647059,0,connective tissue,1,True
116,1879.125,1756.26635294118,0,connective tissue,1,True
117,1880.75,1617.31011764706,0,connective tissue,1,True
118,1874.875,1506.57152941176,2,invasive cancer,1,True
119,1882.0,1380.53270588235,2,invasive cancer,1,True
120,1876.625,1259.00870588235,2,invasive cancer,1,True
121,1881.5,1132.84447058824,2,invasive cancer,1,True
122,1874.625,1006.42941176471,2,invasive cancer,1,True
123,1877.5,879.638117647059,2,invasive cancer,1,True
124,1997.5,3001.60517647059,0,connective tissue,2,True
125,1995.25,2867.79082352941,0,connective tissue,2,True
126,1993.375,2739.36917647059,0,connective tissue,2,True
127,1996.0,2498.57858823529,0,connective tissue,2,True
128,2000.5,2375.17341176471,0,connective tissue,2,True
