cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,1109.25,3136.51794117647,3,undetermined,2,False
1,1110.25,3013.53688235294,0,connective tissue,2,True
2,1110.875,2887.29970588235,3,undetermined,2,False
3,1109.0,2761.93917647059,1,immune infiltrate,2,True
4,1109.125,2639.70952941176,3,undetermined,2,False
5,1110.125,2510.84241176471,2,invasive cancer,2,True
6,1108.75,2390.61652941176,2,invasive cancer,2,True
7,1109.25,2261.24847058824,2,invasive cancer,3,True
8,1109.625,2136.38888235294,1,immune infiltrate,3,True
9,1111.125,2014.53494117647,1,immune infiltrate,3,True
10,1103.875,1891.67911764706,1,immune infiltrate,3,True
11,1109.625,1761.18394117647,2,invasive cancer,3,True
12,1109.875,1637.45147058824,2,invasive cancer,3,True
13,1108.375,1516.34894117647,2,invasive cancer,3,True
14,1111.125,1388.108,2,invasive cancer,3,True
15,1110.375,1261.99605882353,2,invasive cancer,3,True
16,1108.875,1134.757,2,invasive cancer,3,True
17,1109.375,1011.52547058824,2,invasive cancer,3,True
18,1109.0,4003.39664705882,3,undetermined,2,False
19,1109.875,3874.78,1,immune infiltrate,2,True
20,1109.25,3750.79705882353,1,immune infiltrate,2,True
21,1109.875,3622.43088235294,2,invasive cancer,2,True
22,1108.625,3504.96017647059,1,immune infiltrate,2,True
23,1109.375,3382.73052941176,1,immune infiltrate,2,True
24,1108.5,3262.00370588235,3,undetermined,2,False
25,1237.0,3136.39270588235,2,invasive cancer,2,True
26,1235.625,2888.17635294118,1,immune infiltrate,2,True
27,1236.75,2765.32052941176,3,undetermined,2,False
28,1235.5,2642.33947058824,1,immune infiltrate,2,True
29,1237.625,2511.46858823529,1,immune infiltrate,2,True
30,1227.125,2386.85947058824,1,immune infiltrate,2,True
31,1237.625,2261.62417647059,1,immune infiltrate,3,True
32,1234.75,2136.01317647059,1,immune infiltrate,3,True
33,1232.25,2015.53682352941,1,immune infiltrate,3,True
34,1232.625,1887.29588235294,2,invasive cancer,3,True
35,1237.125,1762.812,2,invasive cancer,3,True
36,1238.25,1639.70570588235,2,invasive cancer,3,True
37,1235.375,1511.21429411765,2,invasive cancer,3,True
38,1238.5,1383.34905882353,2,invasive cancer,3,True
39,1232.875,1261.49511764706,2,invasive cancer,3,True
40,1237.25,1134.50652941176,2,invasive cancer,3,True
41,1236.125,1012.02641176471,2,invasive cancer,3,True
42,1236.375,885.16305882353,2,invasive cancer,3,True
43,1236.5,4003.27141176471,1,immune infiltrate,2,True
44,1237.5,3872.27529411765,1,immune infiltrate,2,True
45,1236.875,3751.92417647059,1,immune infiltrate,2,True
46,1233.875,3627.56552941176,2,invasive cancer,2,True
47,1233.125,3506.96394117647,1,immune infiltrate,2,True
48,1236.5,3384.10811764706,2,invasive cancer,2,True
49,1234.125,3260.75135294118,2,invasive cancer,2,True
50,1376.875,3129.37952941176,2,invasive cancer,2,True
51,1378.375,3005.27135294118,2,invasive cancer,2,True
52,1377.125,2884.04358823529,2,invasive cancer,2,True
53,1377.875,2757.80641176471,1,immune infiltrate,2,True
54,1378.75,2635.45152941176,3,undetermined,2,False
55,1378.375,2508.83864705882,1,immune infiltrate,2,True
56,1378.625,2379.72105882353,1,immune infiltrate,2,True
57,1380.875,2256.36429411765,1,immune infiltrate,3,True
58,1376.0,2133.63370588235,1,immune infiltrate,3,True
59,1376.125,2007.52176470588,2,invasive cancer,3,True
60,1376.25,1880.40794117647,2,invasive cancer,3,True
61,1376.625,1757.30164705882,2,invasive cancer,3,True
62,1375.25,1630.18782352941,2,invasive cancer,3,True
63,1376.125,1505.07776470588,2,invasive cancer,3,True
64,1377.625,1381.721,2,invasive cancer,3,True
65,1378.75,1256.98664705882,2,invasive cancer,3,True
66,1377.25,1132.12705882353,2,invasive cancer,3,True
67,1374.375,1004.26182352941,2,invasive cancer,3,True
68,1374.5,880.153647058823,2,invasive cancer,3,True
69,1372.625,3869.01917647059,1,immune infiltrate,2,True
70,1374.25,3738.524,2,invasive cancer,2,True
71,1372.875,3620.17664705882,2,invasive cancer,2,True
72,1379.125,3497.82176470588,1,immune infiltrate,2,True
73,1374.75,3377.97158823529,1,immune infiltrate,2,True
74,1377.875,3253.36247058824,2,invasive cancer,2,True
75,1496.5,3131.63376470588,2,invasive cancer,2,True
76,1497.375,3007.27511764706,2,invasive cancer,2,True
77,1499.0,2886.29782352941,3,undetermined,2,False
78,1499.0,2759.93541176471,1,immune infiltrate,2,True
79,1497.5,2636.70388235294,1,immune infiltrate,2,True
80,1496.25,2509.59005882353,1,immune infiltrate,2,True
81,1498.625,2384.60523529412,1,immune infiltrate,2,True
82,1497.875,2259.99611764706,1,immune infiltrate,2,True
83,1496.125,2132.13088235294,1,immune infiltrate,3,True
84,1496.5,2010.40217647059,2,invasive cancer,3,True
85,1495.5,1883.41358823529,2,invasive cancer,3,True
86,1495.5,1756.425,2,invasive cancer,3,True
87,1498.125,1634.82152941176,2,invasive cancer,3,True
88,1498.0,1509.08529411765,2,invasive cancer,3,True
89,1496.25,1383.72476470588,2,invasive cancer,3,True
90,1497.375,1255.23335294118,2,invasive cancer,3,True
91,1491.875,1125.36435294118,2,invasive cancer,3,True
92,1494.375,1005.88988235294,2,invasive cancer,3,True
93,1495.0,880.779823529412,2,invasive cancer,3,True
94,1496.875,754.793117647059,2,invasive cancer,3,True
95,1496.0,3869.01917647059,2,invasive cancer,2,True
96,1494.625,3746.78952941176,2,invasive cancer,2,True
97,1497.25,3619.42523529412,2,invasive cancer,2,True
98,1494.75,3498.19747058824,2,invasive cancer,2,True
99,1495.125,3378.59776470588,1,immune infiltrate,2,True
100,1495.875,3254.36435294118,1,immune infiltrate,2,True
101,1616.875,3129.88047058824,2,invasive cancer,2,True
102,1614.375,3006.27323529412,2,invasive cancer,2,True
103,1616.375,2887.67541176471,2,invasive cancer,2,True
104,1607.75,2758.80829411765,1,immune infiltrate,2,True
105,1612.25,2634.07394117647,1,immune infiltrate,2,True
106,1619.875,2511.34335294118,1,immune infiltrate,2,True
107,1617.25,2386.35852941176,3,undetermined,2,False
108,1620.0,2260.62229411765,1,immune infiltrate,2,True
109,1616.0,2130.87852941176,1,immune infiltrate,3,True
110,1617.25,2009.90123529412,2,invasive cancer,3,True
111,1616.75,1884.03976470588,2,invasive cancer,3,True
112,1618.375,1757.67735294118,2,invasive cancer,3,True
113,1613.25,1631.44017647059,2,invasive cancer,3,True
114,1617.75,1510.83858823529,2,invasive cancer,3,True
