cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,1112.75,3119.56482352941,2,invasive cancer,3,True
1,1112.25,2999.21258823529,2,invasive cancer,3,True
2,1113.125,2874.00141176471,2,invasive cancer,3,True
3,1112.5,2747.91811764706,0,connective tissue,3,True
4,1115.5,2622.084,2,invasive cancer,3,True
5,1115.0,2497.37117647059,2,invasive cancer,3,True
6,1115.0,2371.03870588235,2,invasive cancer,3,True
7,1117.0,2247.57176470588,2,invasive cancer,3,True
8,1114.5,2122.85894117647,2,invasive cancer,3,True
9,1114.0,1994.15929411765,2,invasive cancer,3,True
10,1114.75,4113.90352941176,2,invasive cancer,3,True
11,1115.625,1870.06941176471,2,invasive cancer,3,True
12,1114.625,1745.85494117647,2,invasive cancer,3,True
13,1116.875,1620.02082352941,2,invasive cancer,3,True
14,1117.25,1494.68505882353,1,immune infiltrate,2,True
15,1115.875,1369.47388235294,1,immune infiltrate,2,True
16,1117.625,1243.14141176471,1,immune infiltrate,2,True
17,1117.875,1117.55647058824,0,connective tissue,2,True
18,1116.875,994.338705882353,0,connective tissue,2,True
19,1116.5,870.747176470588,0,connective tissue,2,True
20,1115.625,744.539294117647,0,connective tissue,2,True
21,1112.75,3988.06941176471,2,invasive cancer,3,True
22,1116.375,617.833058823529,0,connective tissue,2,True
23,1118.5,494.116941176471,3,undetermined,2,False
24,1116.875,368.033647058824,1,immune infiltrate,2,True
25,1117.625,240.081529411765,1,immune infiltrate,2,True
26,1115.25,3861.114,2,invasive cancer,3,True
27,1114.375,3735.15529411765,2,invasive cancer,3,True
28,1113.375,3608.07529411765,2,invasive cancer,3,True
29,1113.875,3489.34270588235,2,invasive cancer,3,True
30,1123.75,3366.62329411765,2,invasive cancer,3,True
31,1113.125,3245.77270588235,2,invasive cancer,3,True
32,1240.25,3122.43035294118,2,invasive cancer,3,True
33,1238.5,2873.00470588235,3,undetermined,3,False
34,1242.125,2747.66894117647,3,undetermined,3,False
35,1240.625,2622.95611764706,2,invasive cancer,3,True
36,1240.0,2496.24988235294,2,invasive cancer,3,True
37,1240.5,2373.53047058824,2,invasive cancer,3,True
38,1241.0,2247.94552941176,2,invasive cancer,3,True
39,1240.5,2120.86552941176,2,invasive cancer,3,True
40,1243.25,1999.51658823529,2,invasive cancer,3,True
41,1238.75,1871.06611764706,2,invasive cancer,3,True
42,1243.875,1747.35,2,invasive cancer,3,True
43,1244.25,1620.14541176471,2,invasive cancer,3,True
44,1241.0,1495.68176470588,3,undetermined,2,False
45,1244.875,1368.47717647059,0,connective tissue,2,True
46,1240.125,1246.00694117647,0,connective tissue,2,True
47,1243.375,1118.80235294118,0,connective tissue,2,True
48,1243.375,994.338705882353,0,connective tissue,2,True
49,1242.5,871.120941176471,0,connective tissue,2,True
50,1244.875,742.670470588235,0,connective tissue,2,True
51,1241.25,3986.44976470588,2,invasive cancer,3,True
52,1247.625,618.331411764706,1,immune infiltrate,2,True
53,1244.5,493.369411764706,3,undetermined,2,False
54,1248.5,368.282823529412,1,immune infiltrate,2,True
55,1241.875,3860.49105882353,2,invasive cancer,3,True
56,1243.25,3736.152,2,invasive cancer,3,True
57,1239.625,3613.18341176471,2,invasive cancer,3,True
58,1239.625,3491.46070588235,2,invasive cancer,3,True
59,1241.875,3369.11505882353,2,invasive cancer,3,True
60,1238.125,3244.65141176471,2,invasive cancer,3,True
61,1375.875,3113.70917647059,2,invasive cancer,3,True
62,1378.25,2987.37670588235,2,invasive cancer,3,True
63,1375.75,2867.02447058824,0,connective tissue,3,True
64,1378.25,2740.56741176471,2,invasive cancer,3,True
65,1378.5,2616.72670588235,2,invasive cancer,3,True
66,1378.875,2491.64011764706,2,invasive cancer,3,True
67,1377.5,2364.18635294118,2,invasive cancer,3,True
68,1380.5,2238.47682352941,2,invasive cancer,3,True
69,1377.375,2117.37705882353,2,invasive cancer,3,True
70,1378.375,1990.17247058824,2,invasive cancer,3,True
71,1378.5,1863.84,2,invasive cancer,3,True
72,1378.25,1740.12388235294,2,invasive cancer,3,True
73,1378.0,1614.91270588235,2,invasive cancer,3,True
74,1380.0,1489.95070588235,2,invasive cancer,2,True
75,1377.375,1367.72964705882,2,invasive cancer,2,True
76,1381.0,1239.77752941176,0,connective tissue,2,True
77,1380.25,1111.32705882353,0,connective tissue,2,True
78,1377.875,986.489647058824,0,connective tissue,2,True
79,1376.75,861.776823529412,0,connective tissue,2,True
80,1376.625,734.696823529412,0,connective tissue,2,True
81,1376.0,3980.59411764706,2,invasive cancer,3,True
82,1379.0,612.475764705883,2,invasive cancer,2,True
83,1378.875,483.900705882353,1,immune infiltrate,2,True
84,1377.875,356.945294117647,1,immune infiltrate,2,True
85,1374.75,3849.40270588235,2,invasive cancer,3,True
86,1377.375,3728.92588235294,2,invasive cancer,3,True
87,1375.125,3605.33435294118,2,invasive cancer,3,True
88,1380.5,3482.61494117647,2,invasive cancer,3,True
89,1379.125,3356.03329411765,2,invasive cancer,3,True
90,1377.75,3235.43188235294,2,invasive cancer,3,True
91,1501.375,3111.342,2,invasive cancer,3,True
92,1502.625,2987.25211764706,2,invasive cancer,3,True
93,1502.75,2867.02447058824,0,connective tissue,3,True
94,1504.5,2738.94776470588,2,invasive cancer,3,True
95,1503.0,2619.59223529412,2,invasive cancer,3,True
96,1503.0,2491.39094117647,2,invasive cancer,3,True
97,1504.125,2364.18635294118,2,invasive cancer,3,True
98,1504.0,2239.09976470588,2,invasive cancer,3,True
99,1501.75,2116.87870588235,2,invasive cancer,3,True
100,1503.625,1991.66752941176,2,invasive cancer,3,True
101,1501.0,1863.09247058824,2,invasive cancer,3,True
102,1503.625,1738.37964705882,2,invasive cancer,3,True
103,1503.375,1614.04058823529,2,invasive cancer,3,True
104,1504.125,1489.82611764706,2,invasive cancer,2,True
105,1504.625,1364.49035294118,2,invasive cancer,2,True
106,1504.875,1239.65294117647,2,invasive cancer,2,True
107,1506.5,1110.45494117647,2,invasive cancer,2,True
108,1503.875,987.237176470588,3,undetermined,2,False
109,1505.25,861.40305882353,0,connective tissue,2,True
110,1503.875,738.060705882353,0,connective tissue,2,True
111,1503.375,607.616823529412,0,connective tissue,2,True
112,1505.375,485.644941176471,1,immune infiltrate,2,True
113,1505.125,357.568235294117,3,undetermined,2,False
114,1501.75,3854.76,2,invasive cancer,3,True
115,1503.0,3727.30623529412,2,invasive cancer,3,True
116,1502.375,3603.59011764706,2,invasive cancer,3,True
117,1505.25,3482.73952941176,2,invasive cancer,3,True
118,1505.0,3357.03,2,invasive cancer,3,True
119,1502.375,3236.05482352941,2,invasive cancer,3,True
120,1624.25,3116.82388235294,2,invasive cancer,3,True
121,1622.375,2992.734,3,undetermined,3,False
122,1621.375,2868.89329411765,0,connective tissue,3,True
123,1622.625,2743.05917647059,2,invasive cancer,3,True
124,1623.125,2618.59552941176,2,invasive cancer,3,True
125,1624.25,2493.13517647059,2,invasive cancer,3,True
126,1625.75,2365.93058823529,2,invasive cancer,3,True
127,1625.75,2242.58823529412,2,invasive cancer,3,True
128,1622.375,2119.37047058824,2,invasive cancer,3,True
129,1621.625,1993.28717647059,2,invasive cancer,3,True
130,1623.375,1868.076,2,invasive cancer,3,True
131,1627.375,1741.99270588235,2,invasive cancer,3,True
132,1624.0,1616.40776470588,2,invasive cancer,3,True
133,1624.5,1491.19658823529,2,invasive cancer,3,True
134,1623.0,1367.10670588235,2,invasive cancer,2,True
135,1625.5,1240.27588235294,2,invasive cancer,2,True
136,1624.5,1114.44176470588,2,invasive cancer,2,True
137,1625.125,990.974823529412,2,invasive cancer,2,True
138,1623.75,866.386588235294,2,invasive cancer,2,True
139,1624.75,741.050823529412,2,invasive cancer,2,True
140,1626.0,612.974117647059,2,invasive cancer,2,True
141,1625.25,486.641647058823,0,connective tissue,2,True
142,1626.5,238.337294117647,3,undetermined,2,False
143,1623.5,3855.38294117647,2,invasive cancer,3,True
144,1623.875,3732.04058823529,2,invasive cancer,3,True
145,1624.75,3608.07529411765,2,invasive cancer,3,True
146,1623.375,3486.228,2,invasive cancer,3,True
147,1623.0,3364.00694117647,2,invasive cancer,3,True
148,1621.75,3240.04164705882,2,invasive cancer,3,True
149,1742.5,3117.696,2,invasive cancer,3,True
150,1742.625,2994.852,2,invasive cancer,3,True
151,1745.125,2870.38835294118,3,undetermined,3,False
152,1743.125,2746.04929411765,2,invasive cancer,3,True
153,1745.5,2619.21847058824,2,invasive cancer,3,True
154,1745.875,2490.89258823529,2,invasive cancer,3,True
155,1747.25,2369.54364705882,2,invasive cancer,3,True
156,1747.0,2241.09317647059,2,invasive cancer,3,True
157,1741.875,2119.12129411765,2,invasive cancer,3,True
158,1745.25,1992.78882352941,2,invasive cancer,3,True
159,1746.625,1869.19729411765,2,invasive cancer,3,True
160,1746.0,1742.49105882353,2,invasive cancer,3,True
161,1748.125,1619.52247058824,2,invasive cancer,3,True
162,1746.0,1493.93752941176,2,invasive cancer,3,True
163,1748.125,1366.48376470588,2,invasive cancer,2,True
164,1746.25,1243.266,3,undetermined,2,False
165,1748.375,1118.92694117647,1,immune infiltrate,2,True
166,1743.5,991.84694117647,2,invasive cancer,2,True
167,1747.375,864.642352941177,2,invasive cancer,2,True
168,1745.5,740.427882352942,2,invasive cancer,2,True
169,1746.875,615.341294117647,2,invasive cancer,2,True
170,1747.625,489.258,2,invasive cancer,2,True
171,1746.75,238.337294117647,3,undetermined,2,False
172,1744.375,3857.00258823529,2,invasive cancer,3,True
173,1745.0,3732.78811764706,2,invasive cancer,3,True
174,1745.375,3608.19988235294,2,invasive cancer,3,True
175,1744.5,3485.35588235294,2,invasive cancer,3,True
176,1741.125,3237.79905882353,2,invasive cancer,3,True
177,1867.5,3118.06976470588,2,invasive cancer,3,True
178,1870.125,2994.47823529412,2,invasive cancer,3,True
179,1869.375,2870.26376470588,2,invasive cancer,3,True
180,1869.875,2744.05588235294,2,invasive cancer,3,True
181,1871.0,2619.84141176471,2,invasive cancer,3,True
182,1872.125,2492.886,2,invasive cancer,3,True
183,1871.375,2370.91411764706,2,invasive cancer,3,True
