cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,1110.375,3119.25176470588,0,adipose tissue,4,True
1,1112.375,2992.35176470588,4,immune infiltrate,4,True
2,1110.0,2868.18882352941,4,immune infiltrate,4,True
3,1112.75,2747.385,0,adipose tissue,4,True
4,1111.5,2621.97794117647,0,adipose tissue,2,True
5,1111.75,2495.57558823529,0,adipose tissue,2,True
6,1110.5,2369.79529411765,0,adipose tissue,2,True
7,1111.75,2246.75205882353,4,immune infiltrate,2,True
8,1112.0,2121.84264705882,4,immune infiltrate,2,True
9,1113.75,1989.59294117647,1,breast glands,2,True
10,1109.5,1870.03323529412,3,connective tissue,4,True
11,1110.5,1747.98529411765,3,connective tissue,4,True
12,1112.625,1619.59235294118,0,adipose tissue,4,True
13,1111.0,1496.05147058824,0,adipose tissue,4,True
14,1114.125,1368.65382352941,3,connective tissue,4,True
15,1111.0,1243.49558823529,3,connective tissue,4,True
16,1109.375,3485.76882352941,1,breast glands,4,True
17,1111.125,3363.84529411765,1,breast glands,4,True
18,1109.625,3235.20352941176,6,undetermined,4,False
19,1239.0,3118.38088235294,0,adipose tissue,4,True
20,1234.875,2866.07382352941,6,undetermined,4,False
21,1240.75,2746.14088235294,0,adipose tissue,4,True
22,1238.875,2620.11176470588,6,undetermined,2,False
23,1237.25,2494.08264705882,6,undetermined,2,False
24,1237.625,2369.67088235294,6,undetermined,2,False
25,1238.75,2247.00088235294,4,immune infiltrate,2,True
26,1238.125,2120.97176470588,4,immune infiltrate,2,True
27,1237.5,1994.32058823529,1,breast glands,2,True
28,1237.125,1868.78911764706,3,connective tissue,4,True
29,1240.25,1747.23882352941,3,connective tissue,4,True
30,1241.375,1622.205,0,adipose tissue,4,True
31,1236.375,1493.19,0,adipose tissue,4,True
32,1240.25,1368.77823529412,0,adipose tissue,4,True
33,1234.0,1240.63411764706,3,connective tissue,4,True
34,1234.25,3484.52470588235,1,breast glands,4,True
35,1236.125,3363.96970588235,6,undetermined,4,False
36,1235.25,3239.68235294118,1,breast glands,4,True
37,1378.625,3111.165,6,undetermined,4,False
38,1378.75,2988.12176470588,2,cancer in situ,4,True
39,1378.875,2864.20764705882,0,adipose tissue,4,True
40,1380.0,2739.79588235294,0,adipose tissue,4,True
41,1379.75,2612.52264705882,6,undetermined,4,False
42,1380.375,2490.10147058824,6,undetermined,2,False
43,1379.5,2364.81882352941,0,adipose tissue,2,True
44,1378.0,2238.16764705882,6,undetermined,2,False
45,1378.875,2115.62205882353,5,invasive cancer,2,True
46,1376.875,1989.71735294118,3,connective tissue,2,True
47,1379.875,1862.31970588235,6,undetermined,3,False
48,1377.75,1739.89852941176,5,invasive cancer,3,True
49,1375.25,1614.49147058824,5,invasive cancer,3,True
50,1376.125,1490.82617647059,0,adipose tissue,3,True
51,1380.75,1363.55294117647,0,adipose tissue,3,True
52,1379.375,1241.13176470588,3,connective tissue,3,True
53,1382.625,3478.17970588235,3,connective tissue,4,True
54,1378.625,3353.64352941176,6,undetermined,4,False
55,1380.375,3233.21294117647,0,adipose tissue,4,True
56,1499.625,3111.91147058824,2,cancer in situ,4,True
57,1497.0,2987.12647058823,6,undetermined,4,False
58,1500.25,2866.69588235294,2,cancer in situ,4,True
59,1498.125,2739.17382352941,0,adipose tissue,4,True
60,1497.875,2615.50852941176,6,undetermined,4,False
61,1496.75,2490.84794117647,6,undetermined,4,False
62,1498.375,2365.31647058824,0,adipose tissue,2,True
63,1500.375,2243.14411764706,6,undetermined,2,False
64,1497.875,2113.75588235294,5,invasive cancer,2,True
65,1498.25,1991.21029411765,3,connective tissue,3,True
66,1498.75,1862.31970588235,1,breast glands,3,True
67,1499.5,1738.15676470588,5,invasive cancer,3,True
68,1498.0,1616.73088235294,5,invasive cancer,3,True
69,1500.5,1491.075,5,invasive cancer,3,True
70,1499.375,1364.54823529412,3,connective tissue,3,True
71,1498.25,1241.87823529412,3,connective tissue,3,True
72,1499.625,3603.33794117647,3,connective tissue,4,True
73,1499.625,3476.56235294118,3,connective tissue,4,True
74,1499.625,3354.76323529412,6,undetermined,4,False
75,1498.125,3234.45705882353,6,undetermined,4,False
76,1620.625,3110.54294117647,2,cancer in situ,4,True
77,1620.375,2988.24617647059,2,cancer in situ,4,True
78,1619.375,2865.70058823529,2,cancer in situ,4,True
79,1620.125,2739.92029411765,6,undetermined,4,False
80,1620.25,2615.88176470588,6,undetermined,4,False
81,1622.0,2490.97235294118,0,adipose tissue,4,True
82,1620.5,2366.31176470588,0,adipose tissue,4,True
83,1617.875,2236.17705882353,5,invasive cancer,2,True
84,1623.125,2114.00470588235,5,invasive cancer,3,True
85,1619.875,1993.57411764706,3,connective tissue,3,True
86,1619.375,1863.06617647059,1,breast glands,3,True
87,1621.75,1741.01823529412,3,connective tissue,3,True
88,1620.125,1616.23323529412,5,invasive cancer,3,True
89,1616.875,1489.45764705882,5,invasive cancer,3,True
90,1619.875,1367.53411764706,5,invasive cancer,3,True
91,1620.5,1241.00735294118,3,connective tissue,3,True
92,1618.0,3602.96470588235,3,connective tissue,4,True
93,1618.5,3480.17029411765,3,connective tissue,4,True
94,1620.875,3358.24676470588,3,connective tissue,4,True
95,1617.625,3234.33264705882,3,connective tissue,4,True
96,1745.75,3114.27529411765,2,cancer in situ,4,True
97,1749.875,2989.86352941176,2,cancer in situ,4,True
98,1745.875,2867.69117647059,3,connective tissue,4,True
99,1747.25,2742.28411764706,0,adipose tissue,4,True
100,1746.5,2618.49441176471,6,undetermined,4,False
101,1746.375,2492.09205882353,0,adipose tissue,4,True
102,1745.125,2367.92911764706,0,adipose tissue,4,True
103,1749.875,2244.88588235294,5,invasive cancer,3,True
104,1748.875,2119.23,5,invasive cancer,3,True
105,1745.125,1994.56941176471,5,invasive cancer,3,True
106,1746.125,1866.92294117647,1,breast glands,3,True
107,1745.0,1742.63558823529,3,connective tissue,3,True
108,1748.0,1617.60176470588,5,invasive cancer,3,True
109,1745.75,1494.18529411765,5,invasive cancer,3,True
110,1742.875,1367.03647058824,5,invasive cancer,3,True
111,1746.25,1241.505,5,invasive cancer,3,True
112,1745.5,3604.08441176471,3,connective tissue,4,True
113,1744.25,3481.66323529412,3,connective tissue,4,True
114,1746.625,3235.70117647059,2,cancer in situ,4,True
115,1861.0,3118.13205882353,2,cancer in situ,4,True
116,1863.375,2992.84941176471,3,connective tissue,4,True
117,1863.625,2870.055,6,undetermined,4,False
118,1863.375,2738.30294117647,0,adipose tissue,4,True
119,1862.625,2618.74323529412,0,adipose tissue,4,True
120,1861.625,2496.19764705882,0,adipose tissue,4,True
121,1864.75,2368.30235294118,0,adipose tissue,4,True
122,1865.875,2244.76147058824,5,invasive cancer,3,True
123,1862.625,2122.46470588235,5,invasive cancer,3,True
124,1863.0,1995.44029411765,5,invasive cancer,3,True
125,1861.625,1868.91352941176,3,connective tissue,3,True
126,1868.0,1748.98058823529,3,connective tissue,3,True
127,1862.5,1622.95147058824,5,invasive cancer,3,True
128,1862.0,1496.54911764706,5,invasive cancer,3,True
129,1864.5,1369.64911764706,5,invasive cancer,3,True
130,1864.5,1242.00264705882,5,invasive cancer,3,True
131,1862.75,3608.43882352941,3,connective tissue,1,True
132,1864.125,3484.15147058824,3,connective tissue,1,True
133,1862.5,3360.23735294118,2,cancer in situ,4,True
134,1863.0,3238.065,2,cancer in situ,4,True
135,1986.75,3114.15088235294,2,cancer in situ,4,True
136,1985.375,2991.72970588235,3,connective tissue,4,True
137,1984.875,2867.56676470588,6,undetermined,4,False
138,1983.125,2741.28882352941,0,adipose tissue,4,True
139,1985.25,2617.74794117647,0,adipose tissue,4,True
