cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,1110.0,3124.45776470588,3,connective tissue,2,True
1,1111.25,2998.51082352941,3,connective tissue,2,True
2,1110.125,2878.55541176471,3,connective tissue,2,True
3,1111.25,2753.98152941176,3,connective tissue,2,True
4,1110.0,2627.036,3,connective tissue,2,True
5,1112.875,2499.46635294118,6,undetermined,2,False
6,1112.75,2376.88964705882,2,cancer in situ,1,True
7,1111.375,2251.31717647059,2,cancer in situ,1,True
8,1111.5,2125.24541176471,2,cancer in situ,1,True
9,1110.625,2001.29564705882,2,cancer in situ,1,True
10,1112.0,1875.47352941176,2,cancer in situ,1,True
11,1112.75,1752.27270588235,6,undetermined,1,False
12,1112.75,1623.20517647059,3,connective tissue,1,True
13,1114.25,1498.38164705882,3,connective tissue,1,True
14,1113.75,1371.68576470588,2,cancer in situ,1,True
15,1113.5,1249.858,2,cancer in situ,1,True
16,1111.75,1123.03729411765,2,cancer in situ,1,True
17,1112.375,992.846352941177,2,cancer in situ,1,True
18,1112.0,870.644117647059,2,cancer in situ,1,True
19,1111.0,745.695764705883,2,cancer in situ,1,True
20,1111.875,619.998470588235,5,invasive cancer,1,True
21,1113.25,493.552235294118,5,invasive cancer,1,True
22,1111.875,367.230823529412,5,invasive cancer,1,True
23,1114.25,239.411529411765,5,invasive cancer,1,True
24,1238.0,3129.07623529412,3,connective tissue,2,True
25,1236.125,2879.30435294118,3,connective tissue,2,True
26,1241.375,2758.6,3,connective tissue,2,True
27,1241.75,2629.28282352941,3,connective tissue,2,True
28,1241.375,2506.58129411765,2,cancer in situ,1,True
29,1236.5,2379.51094117647,2,cancer in situ,1,True
30,1242.25,2253.93847058823,2,cancer in situ,1,True
31,1238.75,2129.98870588235,2,cancer in situ,1,True
32,1239.375,2005.66447058824,2,cancer in situ,1,True
33,1231.375,1877.59552941176,2,cancer in situ,1,True
34,1242.125,1752.772,2,cancer in situ,1,True
35,1243.25,1632.19247058824,2,cancer in situ,1,True
36,1241.25,1503.12494117647,3,connective tissue,1,True
37,1239.125,1376.80352941176,6,undetermined,1,False
38,1235.0,1255.84952941176,2,cancer in situ,1,True
39,1241.375,1124.66,2,cancer in situ,1,True
40,1241.5,1000.21094117647,2,cancer in situ,6,True
41,1241.125,874.888117647059,2,cancer in situ,1,True
42,1239.0,750.064588235294,2,cancer in situ,1,True
43,1242.125,623.493529411764,2,cancer in situ,1,True
44,1239.75,497.546588235294,2,cancer in situ,1,True
45,1243.0,370.850705882353,5,invasive cancer,1,True
46,1242.875,243.281058823529,5,invasive cancer,5,True
47,1238.0,3253.27564705882,6,undetermined,2,False
48,1377.625,3122.58541176471,3,connective tissue,2,True
49,1376.25,2995.01576470588,3,connective tissue,2,True
50,1374.25,2873.56247058824,3,connective tissue,2,True
51,1377.25,2748.11482352941,3,connective tissue,2,True
52,1375.75,2624.28988235294,3,connective tissue,2,True
53,1377.75,2497.34435294118,6,undetermined,2,False
54,1377.0,2372.89529411765,2,cancer in situ,1,True
55,1378.25,2244.82635294118,2,cancer in situ,1,True
56,1374.75,2122.62411764706,2,cancer in situ,1,True
57,1376.5,1996.67717647059,2,cancer in situ,1,True
58,1376.5,1871.10470588235,2,cancer in situ,1,True
59,1377.875,1746.15635294118,2,cancer in situ,1,True
60,1374.25,1618.83635294118,2,cancer in situ,1,True
61,1376.625,1495.13623529412,2,cancer in situ,1,True
62,1371.25,1367.81623529412,3,connective tissue,1,True
63,1378.625,1244.86505882353,2,cancer in situ,1,True
64,1378.75,1116.92094117647,2,cancer in situ,1,True
65,1376.5,990.100235294118,2,cancer in situ,1,True
66,1371.875,867.149058823529,2,cancer in situ,1,True
67,1376.75,737.956705882353,2,cancer in situ,1,True
68,1376.0,614.381411764706,2,cancer in situ,1,True
69,1372.625,489.183411764706,2,cancer in situ,1,True
70,1374.0,361.488941176471,6,undetermined,5,False
71,1376.25,237.039882352941,6,undetermined,1,False
72,1376.125,110.843294117647,6,undetermined,5,False
73,1378.0,3244.41317647059,6,undetermined,2,False
74,1498.0,3121.08752941176,3,connective tissue,2,True
75,1494.75,2996.01435294118,3,connective tissue,2,True
76,1499.875,2871.93976470588,3,connective tissue,2,True
77,1498.375,2747.86517647059,3,connective tissue,2,True
78,1498.25,2624.78917647059,3,connective tissue,2,True
79,1498.125,2496.22094117647,6,undetermined,2,False
80,1499.625,2372.52082352941,2,cancer in situ,1,True
81,1500.75,2245.076,2,cancer in situ,1,True
82,1498.25,2122.12482352941,2,cancer in situ,1,True
83,1496.125,1996.42752941176,2,cancer in situ,1,True
84,1496.125,1870.60541176471,2,cancer in situ,1,True
85,1497.0,1745.65705882353,2,cancer in situ,1,True
86,1500.125,1620.70870588235,2,cancer in situ,1,True
87,1501.375,1494.01282352941,2,cancer in situ,1,True
88,1500.75,1369.06447058824,6,undetermined,1,False
89,1498.125,1244.24094117647,6,undetermined,1,False
90,1500.5,1118.04435294118,2,cancer in situ,6,True
91,1497.0,989.850588235294,2,cancer in situ,1,True
92,1498.0,865.151882352941,2,cancer in situ,1,True
93,1498.375,737.582235294118,2,cancer in situ,1,True
94,1497.875,614.880705882353,2,cancer in situ,1,True
95,1496.0,488.80894117647,2,cancer in situ,1,True
96,1495.875,358.493176470588,5,invasive cancer,1,True
97,1499.375,236.665411764706,5,invasive cancer,1,True
98,1498.875,110.718470588236,6,undetermined,5,False
99,1496.875,3245.16211764706,6,undetermined,2,False
100,1616.875,3123.08470588235,6,undetermined,2,False
101,1618.625,2997.26258823529,3,connective tissue,2,True
102,1618.5,2874.68588235294,3,connective tissue,2,True
103,1619.625,2750.48647058824,3,connective tissue,2,True
104,1620.125,2628.53388235294,3,connective tissue,2,True
105,1620.75,2500.58976470588,3,connective tissue,2,True
106,1618.5,2376.14070588235,6,undetermined,2,False
107,1620.0,2249.32,2,cancer in situ,1,True
108,1618.5,2126.36882352941,2,cancer in situ,1,True
109,1622.25,1997.92541176471,2,cancer in situ,1,True
110,1619.125,1872.47776470588,2,cancer in situ,1,True
111,1619.125,1752.772,2,cancer in situ,1,True
112,1620.125,1624.57823529412,2,cancer in situ,1,True
113,1621.25,1496.88376470588,6,undetermined,1,False
114,1620.75,1371.56094117647,4,immune infiltrate,1,True
115,1621.375,1247.98564705882,4,immune infiltrate,1,True
116,1619.0,1121.66423529412,6,undetermined,1,False
117,1616.125,993.345647058823,2,cancer in situ,1,True
118,1620.125,866.524941176471,2,cancer in situ,1,True
119,1617.5,741.951058823529,2,cancer in situ,1,True
120,1618.25,617.127529411764,2,cancer in situ,1,True
121,1619.375,491.305411764706,5,invasive cancer,1,True
122,1618.75,365.233647058824,5,invasive cancer,1,True
123,1619.625,241.658352941176,5,invasive cancer,1,True
124,1624.5,119.456117647059,5,invasive cancer,1,True
125,1619.25,3246.28552941176,6,undetermined,2,False
126,1740.625,3125.83082352941,6,undetermined,2,False
127,1739.375,2998.51082352941,1,breast glands,2,True
128,1738.75,2874.18658823529,6,undetermined,2,False
129,1738.875,2752.98294117647,3,connective tissue,2,True
130,1737.875,2625.91258823529,3,connective tissue,2,True
131,1740.0,2499.59117647059,3,connective tissue,2,True
132,1739.0,2375.64141176471,3,connective tissue,2,True
133,1740.0,2250.94270588235,2,cancer in situ,1,True
134,1738.75,2126.74329411765,2,cancer in situ,1,True
135,1740.125,2000.67152941176,2,cancer in situ,1,True
136,1740.0,1874.59976470588,2,cancer in situ,1,True
137,1741.25,1750.27552941176,2,cancer in situ,1,True
