cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,47.0,71.0,5,medulla sinuses,4,True
1,49.0,43.0,5,medulla sinuses,1,True
2,28.0,86.0,4,medulla cords,4,True
3,51.0,41.0,4,medulla cords,3,True
4,24.0,6.0,1,cortex,6,True
5,44.0,124.0,7,pericapsular adipose tissue,5,True
6,50.0,6.0,2,follicle,6,True
7,58.0,26.0,5,medulla sinuses,1,True
8,41.0,123.0,7,pericapsular adipose tissue,5,True
9,46.0,124.0,7,pericapsular adipose tissue,5,True
10,67.0,55.0,0,capsule,2,True
11,59.0,113.0,4,medulla cords,1,True
12,38.0,104.0,5,medulla sinuses,1,True
13,52.0,18.0,4,medulla cords,4,True
14,59.0,15.0,0,capsule,5,True
15,29.0,49.0,4,medulla cords,4,True
16,59.0,77.0,5,medulla sinuses,1,True
17,73.0,75.0,7,pericapsular adipose tissue,5,True
18,39.0,45.0,4,medulla cords,4,True
19,68.0,72.0,1,cortex,2,True
20,54.0,98.0,4,medulla cords,1,True
21,30.0,108.0,1,cortex,1,True
22,35.0,17.0,4,medulla cords,4,True
23,14.0,82.0,1,cortex,3,True
24,64.0,58.0,4,medulla cords,2,True
25,21.0,75.0,1,cortex,3,True
26,35.0,39.0,5,medulla sinuses,4,True
27,38.0,12.0,4,medulla cords,4,True
28,27.0,101.0,1,cortex,3,True
29,14.0,24.0,0,capsule,5,True
30,50.0,4.0,2,follicle,6,True
31,48.0,126.0,7,pericapsular adipose tissue,5,True
32,24.0,58.0,5,medulla sinuses,4,True
33,56.0,26.0,5,medulla sinuses,1,True
34,7.0,53.0,7,pericapsular adipose tissue,5,True
35,26.0,56.0,4,medulla cords,4,True
36,41.0,99.0,4,medulla cords,1,True
37,69.0,81.0,4,medulla cords,2,True
38,14.0,52.0,1,cortex,3,True
39,60.0,44.0,3,hilum,5,True
40,49.0,91.0,5,medulla sinuses,1,True
41,36.0,110.0,1,cortex,4,True
42,39.0,79.0,4,medulla cords,1,True
43,53.0,41.0,5,medulla sinuses,4,True
44,19.0,71.0,1,cortex,3,True
45,22.0,48.0,4,medulla cords,4,True
46,63.0,77.0,4,medulla cords,1,True
47,19.0,13.0,0,capsule,3,True
48,42.0,100.0,5,medulla sinuses,1,True
49,37.0,61.0,4,medulla cords,4,True
50,12.0,60.0,1,cortex,3,True
51,39.0,121.0,7,pericapsular adipose tissue,5,True
52,12.0,42.0,2,follicle,3,True
53,53.0,97.0,4,medulla cords,1,True
54,60.0,70.0,6,medulla vessels,2,True
55,51.0,83.0,5,medulla sinuses,1,True
56,72.0,98.0,0,capsule,2,True
57,34.0,8.0,1,cortex,4,True
58,37.0,77.0,5,medulla sinuses,1,True
59,32.0,26.0,4,medulla cords,4,True
60,10.0,86.0,0,capsule,4,True
61,45.0,3.0,1,cortex,3,True
62,56.0,52.0,5,medulla sinuses,1,True
63,60.0,54.0,4,medulla cords,4,True
64,51.0,27.0,4,medulla cords,1,True
65,25.0,101.0,1,cortex,3,True
66,34.0,46.0,4,medulla cords,4,True
67,18.0,40.0,1,cortex,3,True
68,34.0,120.0,7,pericapsular adipose tissue,5,True
69,66.0,80.0,4,medulla cords,1,True
70,66.0,74.0,5,medulla sinuses,2,True
71,48.0,110.0,5,medulla sinuses,1,True
72,25.0,113.0,7,pericapsular adipose tissue,5,True
73,62.0,34.0,0,capsule,5,True
74,13.0,25.0,7,pericapsular adipose tissue,5,True
75,28.0,70.0,4,medulla cords,4,True
76,39.0,71.0,4,medulla cords,4,True
77,30.0,14.0,4,medulla cords,4,True
78,46.0,28.0,5,medulla sinuses,1,True
79,57.0,73.0,5,medulla sinuses,4,True
80,48.0,4.0,1,cortex,6,True
81,18.0,70.0,1,cortex,3,True
82,57.0,31.0,4,medulla cords,4,True
83,29.0,25.0,4,medulla cords,3,True
84,50.0,12.0,5,medulla sinuses,1,True
85,28.0,100.0,1,cortex,4,True
86,64.0,26.0,7,pericapsular adipose tissue,5,True
87,59.0,107.0,5,medulla sinuses,1,True
88,34.0,60.0,5,medulla sinuses,1,True
89,67.0,53.0,0,capsule,2,True
90,49.0,15.0,4,medulla cords,4,True
91,47.0,27.0,4,medulla cords,1,True
92,56.0,16.0,1,cortex,3,True
93,72.0,92.0,8,subcapsular sinus,2,True
94,52.0,32.0,5,medulla sinuses,1,True
95,27.0,111.0,1,cortex,3,True
96,16.0,66.0,1,cortex,3,True
97,75.0,97.0,7,pericapsular adipose tissue,1,True
98,10.0,42.0,2,follicle,3,True
99,20.0,72.0,1,cortex,3,True
100,45.0,97.0,4,medulla cords,4,True
101,15.0,55.0,1,cortex,3,True
102,60.0,98.0,5,medulla sinuses,1,True
103,34.0,16.0,4,medulla cords,4,True
104,45.0,73.0,5,medulla sinuses,4,True
105,27.0,17.0,1,cortex,3,True
106,48.0,88.0,5,medulla sinuses,1,True
107,64.0,98.0,5,medulla sinuses,1,True
108,34.0,34.0,6,medulla vessels,4,True
109,59.0,51.0,5,medulla sinuses,1,True
110,20.0,86.0,1,cortex,3,True
111,70.0,48.0,7,pericapsular adipose tissue,5,True
112,42.0,124.0,7,pericapsular adipose tissue,5,True
113,70.0,80.0,1,cortex,2,True
114,50.0,20.0,5,medulla sinuses,1,True
115,75.0,89.0,7,pericapsular adipose tissue,1,True
116,19.0,105.0,0,capsule,5,True
117,14.0,44.0,1,cortex,3,True
118,62.0,54.0,5,medulla sinuses,2,True
119,20.0,102.0,1,cortex,3,True
120,50.0,70.0,4,medulla cords,1,True
121,65.0,115.0,0,capsule,5,True
122,28.0,28.0,5,medulla sinuses,4,True
123,28.0,24.0,4,medulla cords,4,True
124,18.0,72.0,1,cortex,3,True
