cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,24.0,27.0,1,Forebrain,5,True
1,34.0,17.0,1,Forebrain,5,True
2,22.0,29.0,1,Forebrain,5,True
3,13.0,38.0,3,Mesenchyme,6,True
4,20.0,31.0,1,Forebrain,5,True
5,23.0,28.0,1,Forebrain,5,True
6,25.0,26.0,1,Forebrain,5,True
7,18.0,33.0,1,Forebrain,5,True
8,29.0,22.0,1,Forebrain,5,True
9,36.0,15.0,3,Mesenchyme,5,True
10,14.0,37.0,3,Mesenchyme,5,True
11,39.0,12.0,0,Cartilage,5,True
12,11.0,22.0,1,Forebrain,2,True
13,40.0,11.0,0,Cartilage,4,True
14,41.0,10.0,0,Cartilage,4,True
15,19.0,32.0,1,Forebrain,5,True
16,12.0,22.0,1,Forebrain,2,True
17,8.0,29.0,1,Forebrain,5,True
18,6.0,22.0,1,Forebrain,2,True
19,27.0,24.0,1,Forebrain,5,True
20,37.0,14.0,0,Cartilage,5,True
21,43.0,8.0,5,Muscle,4,True
22,23.0,6.0,0,Cartilage,4,True
23,3.0,22.0,1,Forebrain,2,True
24,49.0,22.0,3,Mesenchyme,5,True
25,12.0,39.0,3,Mesenchyme,6,True
26,48.0,17.0,0,Cartilage,5,True
27,17.0,34.0,4,Midbrain,5,True
28,42.0,29.0,2,Hindbrain,5,True
29,9.0,21.0,1,Forebrain,2,True
30,48.0,21.0,0,Cartilage,5,True
31,7.0,21.0,1,Forebrain,2,True
32,43.0,18.0,0,Cartilage,5,True
33,23.0,27.0,1,Forebrain,5,True
34,48.0,22.0,3,Mesenchyme,5,True
35,34.0,22.0,1,Forebrain,5,True
36,7.0,22.0,1,Forebrain,2,True
37,12.0,21.0,1,Forebrain,2,True
38,10.0,21.0,1,Forebrain,2,True
39,30.0,21.0,1,Forebrain,5,True
40,46.0,22.0,3,Mesenchyme,5,True
41,5.0,22.0,1,Forebrain,2,True
42,35.0,16.0,3,Mesenchyme,5,True
43,28.0,23.0,1,Forebrain,5,True
44,15.0,36.0,3,Mesenchyme,5,True
45,36.0,14.0,0,Cartilage,4,True
46,10.0,22.0,1,Forebrain,2,True
47,6.0,21.0,1,Forebrain,2,True
48,33.0,18.0,1,Forebrain,5,True
49,40.0,17.0,0,Cartilage,5,True
50,47.0,22.0,3,Mesenchyme,5,True
51,40.0,16.0,0,Cartilage,5,True
52,46.0,29.0,2,Hindbrain,5,True
53,21.0,30.0,1,Forebrain,5,True
54,4.0,27.0,1,Forebrain,5,True
55,43.0,19.0,3,Mesenchyme,5,True
56,40.0,29.0,2,Hindbrain,5,True
57,22.0,7.0,0,Cartilage,4,True
58,49.0,21.0,0,Cartilage,5,True
59,36.0,22.0,3,Mesenchyme,5,True
60,7.0,27.0,1,Forebrain,5,True
61,9.0,20.0,1,Forebrain,2,True
62,36.0,12.0,0,Cartilage,4,True
63,40.0,18.0,3,Mesenchyme,5,True
64,11.0,21.0,1,Forebrain,2,True
65,42.0,17.0,0,Cartilage,5,True
66,7.0,25.0,1,Forebrain,2,True
67,7.0,29.0,1,Forebrain,5,True
68,3.0,21.0,1,Forebrain,2,True
69,40.0,19.0,3,Mesenchyme,5,True
70,44.0,7.0,5,Muscle,4,True
71,23.0,7.0,0,Cartilage,4,True
72,4.0,21.0,1,Forebrain,2,True
73,25.0,27.0,1,Forebrain,5,True
74,12.0,29.0,1,Forebrain,5,True
75,23.0,5.0,0,Cartilage,4,True
76,5.0,29.0,1,Forebrain,5,True
77,9.0,19.0,1,Forebrain,2,True
78,42.0,9.0,5,Muscle,4,True
79,49.0,17.0,0,Cartilage,5,True
80,8.0,16.0,1,Forebrain,2,True
81,8.0,27.0,1,Forebrain,5,True
82,44.0,29.0,2,Hindbrain,5,True
83,48.0,18.0,0,Cartilage,5,True
84,22.0,27.0,1,Forebrain,5,True
85,17.0,5.0,0,Cartilage,4,True
86,9.0,31.0,1,Forebrain,5,True
87,12.0,18.0,1,Forebrain,2,True
88,12.0,19.0,1,Forebrain,2,True
89,47.0,29.0,2,Hindbrain,5,True
90,16.0,35.0,4,Midbrain,5,True
91,35.0,22.0,3,Mesenchyme,5,True
92,40.0,20.0,3,Mesenchyme,5,True
93,21.0,27.0,1,Forebrain,5,True
94,10.0,11.0,1,Forebrain,2,True
95,41.0,29.0,2,Hindbrain,5,True
96,39.0,29.0,2,Hindbrain,5,True
97,37.0,21.0,3,Mesenchyme,5,True
98,17.0,6.0,0,Cartilage,4,True
99,12.0,17.0,1,Forebrain,2,True
100,34.0,21.0,1,Forebrain,5,True
101,7.0,17.0,1,Forebrain,2,True
102,9.0,18.0,1,Forebrain,2,True
103,8.0,30.0,1,Forebrain,5,True
104,33.0,27.0,3,Mesenchyme,5,True
105,23.0,4.0,0,Cartilage,4,True
106,36.0,29.0,2,Hindbrain,5,True
107,40.0,13.0,0,Cartilage,4,True
108,7.0,18.0,1,Forebrain,2,True
109,9.0,17.0,1,Forebrain,2,True
110,46.0,21.0,3,Mesenchyme,5,True
111,2.0,22.0,1,Forebrain,2,True
112,36.0,8.0,0,Cartilage,4,True
113,22.0,8.0,0,Cartilage,4,True
114,8.0,15.0,1,Forebrain,2,True
115,43.0,29.0,2,Hindbrain,5,True
116,24.0,6.0,0,Cartilage,4,True
117,7.0,19.0,1,Forebrain,2,True
118,46.0,27.0,2,Hindbrain,5,True
119,43.0,22.0,2,Hindbrain,5,True
120,7.0,26.0,1,Forebrain,2,True
121,4.0,22.0,1,Forebrain,2,True
122,28.0,10.0,0,Cartilage,4,True
123,40.0,21.0,3,Mesenchyme,5,True
124,36.0,21.0,3,Mesenchyme,5,True
125,41.0,18.0,0,Cartilage,5,True
126,45.0,22.0,2,Hindbrain,5,True
127,36.0,6.0,5,Muscle,4,True
128,42.0,18.0,0,Cartilage,5,True
129,12.0,13.0,1,Forebrain,2,True
130,12.0,20.0,1,Forebrain,2,True
131,47.0,21.0,3,Mesenchyme,5,True
132,46.0,9.0,5,Muscle,4,True
133,48.0,29.0,2,Hindbrain,5,True
134,36.0,9.0,0,Cartilage,4,True
135,9.0,13.0,1,Forebrain,2,True
136,45.0,29.0,2,Hindbrain,5,True
137,40.0,8.0,5,Muscle,4,True
138,10.0,18.0,1,Forebrain,2,True
139,48.0,13.0,0,Cartilage,4,True
140,10.0,14.0,1,Forebrain,2,True
141,3.0,27.0,1,Forebrain,5,True
142,37.0,6.0,5,Muscle,4,True
143,34.0,12.0,0,Cartilage,4,True
144,31.0,20.0,1,Forebrain,5,True
145,11.0,40.0,6,Skull,6,True
146,7.0,20.0,1,Forebrain,2,True
147,36.0,27.0,2,Hindbrain,5,True
148,32.0,22.0,1,Forebrain,5,True
149,37.0,22.0,3,Mesenchyme,5,True
150,6.0,23.0,1,Forebrain,2,True
151,45.0,21.0,3,Mesenchyme,5,True
152,36.0,11.0,0,Cartilage,4,True
153,47.0,16.0,0,Cartilage,5,True
154,42.0,10.0,5,Muscle,4,True
155,25.0,22.0,1,Forebrain,5,True
156,40.0,9.0,5,Muscle,4,True
157,34.0,13.0,0,Cartilage,4,True
