cell_idx,x,y,ground_truth,ground_truth_name,prediction,eval_mask
0,4980.778,-49.771248,6,L6,6,True
1,8729.178,-53.473114,4,L4,2,True
2,11547.566,-46.31549,3,L2/3,1,True
3,3280.9802,-37.612812,6,L6,6,True
4,7582.7935,-45.35031,4,L4,3,True
5,4691.6836,-50.137005,6,L6,6,True
6,12817.144,-48.95783,2,L1,4,True
7,3426.1748,-91.8815,6,L6,6,True
8,5157.4355,-84.14512,6,L6,6,True
9,1480.0391,-61.310394,0,CC,5,True
10,9461.604,-55.56052,3,L2/3,2,True
11,12633.158,-58.753773,2,L1,4,True
12,10688.079,-73.605965,3,L2/3,1,True
13,12065.723,-73.38753,3,L2/3,4,True
14,13121.71,-81.66815,2,L1,4,True
15,4216.014,-74.05761,6,L6,6,True
16,569.0052,-78.53596,1,HPC,5,True
17,2851.3394,-89.30365,0,CC,6,True
18,1324.5454,-97.24618,0,CC,5,True
19,3272.7896,-134.0175,6,L6,6,True
20,9137.065,-125.94064,4,L4,2,True
21,9265.45,-122.7531,4,L4,2,True
22,3603.8647,-138.48085,6,L6,6,True
23,9856.904,-126.79167,3,L2/3,2,True
24,9993.976,-133.46356,3,L2/3,2,True
25,11006.365,-135.4783,3,L2/3,1,True
26,11766.123,-133.0927,3,L2/3,1,True
27,4510.078,-143.75221,6,L6,6,True
28,12922.531,-127.16596,2,L1,4,True
29,13714.761,-154.93925,2,L1,4,True
30,9423.858,-159.90701,4,L4,2,True
31,2553.534,-168.39478,0,CC,6,True
32,6873.3403,-157.09036,5,L5,3,True
33,7081.7007,-173.7048,5,L5,3,True
34,5523.4937,-177.94879,5,L5,6,True
35,4053.3728,-166.74454,6,L6,6,True
36,6314.9883,-157.13123,5,L5,3,True
37,1033.022,-159.98456,1,HPC,5,True
38,2246.445,-187.97177,0,CC,5,True
39,2811.954,-173.63814,0,CC,6,True
40,11304.522,-170.89763,3,L2/3,1,True
41,8723.939,-197.69519,4,L4,2,True
42,10627.521,-188.5845,3,L2/3,1,True
43,11822.762,-214.45483,3,L2/3,1,True
44,934.07056,-184.90604,1,HPC,5,True
45,10469.805,-224.01202,3,L2/3,1,True
46,5405.7705,-217.97807,5,L5,6,True
47,12753.131,-253.01614,2,L1,4,True
48,1346.582,-255.1228,0,CC,5,True
49,2669.918,-235.11766,0,CC,6,True
50,6022.4287,-239.60477,5,L5,6,True
51,8838.501,-247.52298,4,L4,2,True
52,2801.5232,-282.0327,0,CC,6,True
53,3288.2227,-253.9838,6,L6,6,True
54,1020.5396,-297.10437,1,HPC,5,True
55,9739.766,-258.26416,3,L2/3,2,True
